order_id,customer_id,product_id,order_date,order_hour,quantity,unit_price,revenue,discount_rate,category,festival,city,state,city_tier,region,acquisition_channel,cart_adds,page_views,supplier_delay_hours
46,5463,1048,2024-08-03,19,4,412.67234734523555,1650.6893893809422,0.0,Beauty,RakshaBandhan,Coimbatore,Tamil Nadu,Tier-3,South,Marketplace,3,14,6.89532219328526
47,5336,1071,2024-09-25,19,1,251.03189979753532,251.03189979753532,0.0,Home,Regular,Vizag,Andhra Pradesh,Tier-3,South,Organic,6,73,3.6601518801642987
48,5076,1003,2024-07-28,9,4,421.4471371450247,1517.209693722089,0.1,Electronics,Regular,Hyderabad,Telangana,Tier-1,South,Marketplace,9,11,4.4542519029583385
49,5102,1112,2024-10-08,2,2,190.51440824888496,381.0288164977699,0.0,Beauty,Diwali,Indore,Madhya Pradesh,Tier-2,Central,Marketplace,6,68,2.3846248764794593
50,5467,1026,2024-03-21,8,1,285.3653921989502,285.3653921989502,0.0,Accessories,Holi,Chandigarh,Chandigarh,Tier-2,North,Paid,4,16,1.3525495948170625
51,5000,1081,2023-10-23,16,2,249.7682482496416,499.5364964992832,0.0,Apparel,Diwali,Chandigarh,Chandigarh,Tier-2,North,Marketplace,1,7,3.44232798487744
52,5251,1093,2024-01-16,20,2,234.80252339692467,469.60504679384934,0.0,Beauty,NewYear,Chandigarh,Chandigarh,Tier-2,North,Marketplace,2,7,6.606023388671095
53,5298,1018,2024-09-06,15,4,498.30239147562344,1893.549087607369,0.05,Accessories,Regular,Kochi,Kerala,Tier-2,South,Affiliate,3,63,2.5960788794298812
54,5419,1029,2023-11-25,0,4,412.99888241304825,1486.7959766869737,0.1,Apparel,Diwali,Coimbatore,Tamil Nadu,Tier-3,South,Paid,2,30,7.225042320041104
55,5447,1049,2024-05-06,14,4,92.45396532949279,351.3250682520726,0.05,Apparel,Regular,Indore,Madhya Pradesh,Tier-2,Central,Marketplace,7,36,2.854253237469651
56,5141,1098,2023-10-01,4,1,79.62348225110404,75.64230813854883,0.05,Electronics,Diwali,Ahmedabad,Gujarat,Tier-2,West,Organic,7,66,1.8635456872377483
57,5251,1076,2024-02-07,14,5,183.22031708234334,870.2965061411309,0.05,Electronics,Regular,Chandigarh,Chandigarh,Tier-2,North,Marketplace,4,24,4.507274097162146
58,5316,1056,2023-11-15,9,3,280.7603075676206,800.1668765677186,0.05,Apparel,Diwali,Delhi,Delhi,Tier-1,North,Paid,9,46,5.358143975588172
59,5482,1101,2023-11-15,12,1,422.8272089483422,359.4031276060909,0.15,Beauty,Diwali,Vizag,Andhra Pradesh,Tier-3,South,Organic,4,27,4.376175833041017
60,5278,1056,2023-12-05,14,5,280.7603075676206,1193.2313071623876,0.15,Apparel,Christmas,Hyderabad,Telangana,Tier-1,South,Organic,5,9,4.301906791183958
61,5060,1106,2024-05-03,15,4,275.1232862648353,935.4191733004401,0.15,Accessories,Regular,Indore,Madhya Pradesh,Tier-2,Central,Paid,5,79,7.205920421882679
62,5462,1092,2024-07-02,0,1,273.2322025886781,232.24737220037636,0.15,Sports,Regular,Delhi,Delhi,Tier-1,North,Referral,6,33,4.189829094984254
63,5256,1020,2024-01-24,23,3,457.2717666503706,1166.043004958445,0.15,Accessories,NewYear,Pune,Maharashtra,Tier-2,West,Marketplace,2,68,3.0591864291821866
64,5089,1045,2024-08-23,13,5,484.8109709231131,2302.852111884787,0.05,Electronics,RakshaBandhan,Bengaluru,Karnataka,Tier-1,South,Paid,3,37,1.7340609135007101
65,5095,1003,2024-03-05,12,4,421.4471371450247,1601.499121151094,0.05,Electronics,Holi,Vizag,Andhra Pradesh,Tier-3,South,Paid,7,70,6.5472713788606764
66,5102,1028,2024-07-21,9,1,101.03080031985321,90.9277202878679,0.1,Electronics,Regular,Indore,Madhya Pradesh,Tier-2,Central,Marketplace,8,17,3.1486439538116437
67,5360,1002,2024-04-29,2,4,516.5727727477157,2066.291090990863,0.0,Grocery,Regular,Chandigarh,Chandigarh,Tier-2,North,Organic,4,45,3.3437940234265926
68,5474,1012,2024-07-16,15,1,389.88042084759206,389.88042084759206,0.0,Sports,Regular,Delhi,Delhi,Tier-1,North,Paid,2,32,6.103758810139014
69,5220,1000,2024-10-26,8,2,466.63406864801834,699.9511029720275,0.25,Accessories,Diwali,Coimbatore,Tamil Nadu,Tier-3,South,Marketplace,8,79,8.108295589554626
70,5048,1080,2024-11-01,21,1,401.94498879315864,381.8477393535007,0.05,Beauty,Diwali,Indore,Madhya Pradesh,Tier-2,Central,Affiliate,6,30,4.502663827661622
71,5444,1049,2024-05-22,15,4,92.45396532949279,369.81586131797116,0.0,Apparel,Regular,Vizag,Andhra Pradesh,Tier-3,South,Affiliate,4,62,3.7260034538706948
72,5317,1056,2024-10-20,10,5,280.7603075676206,1333.611460946198,0.05,Apparel,Diwali,Delhi,Delhi,Tier-1,North,Paid,6,42,3.9886950496537916
73,5285,1091,2024-07-07,0,1,420.82902129586427,420.82902129586427,0.0,Home,Regular,Pune,Maharashtra,Tier-2,West,Paid,8,35,3.0889234305267363
74,5030,1097,2024-01-16,13,4,61.71345239649959,246.85380958599836,0.0,Apparel,NewYear,Jaipur,Rajasthan,Tier-2,North,Marketplace,1,57,3.288305268663337
75,5485,1063,2024-10-09,20,2,461.34932587545507,876.5637191633646,0.05,Accessories,Diwali,Coimbatore,Tamil Nadu,Tier-3,South,Paid,4,53,3.299021538607269
76,5038,1054,2023-11-28,11,4,426.0475733895377,1618.9807788802432,0.05,Beauty,Diwali,Ahmedabad,Gujarat,Tier-2,West,Paid,9,40,5.821456156008659
77,5305,1077,2024-04-05,15,1,400.5307436888681,380.50420650442464,0.05,Apparel,Regular,Pune,Maharashtra,Tier-2,West,Affiliate,3,9,3.8236588148652135
78,5298,1049,2023-12-01,2,2,92.45396532949279,184.90793065898558,0.0,Apparel,Christmas,Kochi,Kerala,Tier-2,South,Affiliate,9,10,6.718624825218683
79,5256,1053,2024-08-09,9,2,402.26200538929896,764.297810239668,0.05,Apparel,RakshaBandhan,Pune,Maharashtra,Tier-2,West,Marketplace,3,49,3.7674456800111114
80,5275,1035,2024-09-23,19,5,121.78810185972856,608.9405092986428,0.0,Grocery,Regular,Indore,Madhya Pradesh,Tier-2,Central,Paid,5,9,3.2659416981147977
81,5198,1022,2024-08-23,10,1,582.711834392993,553.5762426733432,0.05,Sports,RakshaBandhan,Nagpur,Maharashtra,Tier-3,West,Referral,1,50,6.555750008213074
82,5286,1023,2023-11-10,21,3,536.9414615800966,1449.741946266261,0.1,Electronics,Diwali,Lucknow,Uttar Pradesh,Tier-2,North,Affiliate,7,71,4.043100039252669
83,5181,1078,2024-01-17,9,1,338.6489698813542,338.6489698813542,0.0,Electronics,NewYear,Hyderabad,Telangana,Tier-1,South,Organic,3,64,3.7471314658075268
84,5236,1099,2024-02-14,19,3,577.5196220842136,1299.4191496894805,0.25,Grocery,Regular,Delhi,Delhi,Tier-1,North,Paid,8,57,4.067121285631891
85,5339,1050,2023-11-16,15,4,127.9458394603139,460.60502205713004,0.1,Grocery,Diwali,Mumbai,Maharashtra,Tier-1,West,Organic,2,25,6.933299026356677
86,5371,1011,2024-04-30,22,4,556.791343420675,2227.1653736827,0.0,Sports,Regular,Bhopal,Madhya Pradesh,Tier-3,Central,Referral,2,54,4.612155463574776
87,5076,1073,2023-10-14,12,1,148.02429666055104,148.02429666055104,0.0,Home,Diwali,Hyderabad,Telangana,Tier-1,South,Marketplace,5,18,6.498967977847032
88,5496,1108,2024-06-02,11,4,66.87066767056459,267.48267068225834,0.0,Grocery,Regular,Mumbai,Maharashtra,Tier-1,West,Affiliate,1,73,3.5307511956821074
89,5048,1063,2024-05-17,8,2,461.34932587545507,922.6986517509101,0.0,Accessories,Regular,Indore,Madhya Pradesh,Tier-2,Central,Affiliate,3,11,6.178807814457362
90,5137,1003,2024-05-26,15,4,421.4471371450247,1264.3414114350742,0.25,Electronics,Regular,Delhi,Delhi,Tier-1,North,Referral,7,45,4.475369672845899
91,5173,1009,2024-09-30,23,5,275.7277033583846,1240.7746651127306,0.1,Accessories,Regular,Mumbai,Maharashtra,Tier-1,West,Organic,5,41,5.7651513239609855
92,5161,1062,2024-08-10,4,1,343.4893028239014,291.9659074003162,0.15,Grocery,RakshaBandhan,Ahmedabad,Gujarat,Tier-2,West,Paid,6,10,5.933292473359928
93,5175,1103,2024-01-12,22,2,581.8140626351571,1047.265312743283,0.1,Sports,NewYear,Vizag,Andhra Pradesh,Tier-3,South,Referral,1,18,2.1167609419201834
94,5161,1006,2024-05-16,23,5,459.07242417430825,1721.521590653656,0.25,Beauty,Regular,Ahmedabad,Gujarat,Tier-2,West,Paid,7,58,4.143915212768126
95,5218,1090,2024-08-16,18,1,99.86414060076936,84.88451951065396,0.15,Accessories,RakshaBandhan,Indore,Madhya Pradesh,Tier-2,Central,Paid,1,49,5.9143959051010455
96,5381,1093,2024-09-05,13,2,234.80252339692467,469.60504679384934,0.0,Beauty,Regular,Mumbai,Maharashtra,Tier-1,West,Affiliate,6,17,6.232970739474376
97,5413,1006,2024-06-14,20,3,459.07242417430825,1377.2172725229248,0.0,Beauty,Regular,Indore,Madhya Pradesh,Tier-2,Central,Organic,8,15,6.506868953585187
98,5174,1025,2023-11-03,6,5,124.83683763266087,624.1841881633044,0.0,Grocery,Diwali,Delhi,Delhi,Tier-1,North,Organic,7,54,4.209455450204985
99,5129,1000,2024-03-22,15,2,466.63406864801834,933.2681372960367,0.0,Accessories,Holi,Chandigarh,Chandigarh,Tier-2,North,Organic,4,54,7.0804190822588815
100,5338,1067,2024-09-08,19,2,189.3305578569412,359.72805992818826,0.05,Beauty,Regular,Bhopal,Madhya Pradesh,Tier-3,Central,Paid,2,35,2.6855868607688946
101,5029,1020,2023-10-30,19,4,457.2717666503706,1829.0870666014823,0.0,Accessories,Diwali,Indore,Madhya Pradesh,Tier-2,Central,Organic,8,6,1.0104696606179528
102,5222,1109,2024-05-24,14,1,542.5354139608665,461.1551018667366,0.15,Accessories,Regular,Indore,Madhya Pradesh,Tier-2,Central,Organic,2,7,3.4447782122954465
103,5110,1010,2024-05-04,9,2,228.77083429722293,457.54166859444587,0.0,Apparel,Regular,Jaipur,Rajasthan,Tier-2,North,Organic,5,16,6.391684568692911
104,5303,1077,2023-12-29,22,2,400.5307436888681,680.9022642710758,0.15,Apparel,Christmas,Lucknow,Uttar Pradesh,Tier-2,North,Affiliate,3,9,1.8275856577498302
105,5039,1094,2024-02-15,16,3,187.89213259724715,563.6763977917415,0.0,Beauty,Regular,Chandigarh,Chandigarh,Tier-2,North,Paid,1,46,1.0602839742444923
106,5414,1021,2024-10-26,18,3,219.17032119662233,657.510963589867,0.0,Home,Diwali,Kochi,Kerala,Tier-2,South,Referral,4,34,0.5589820242442314
107,5134,1030,2024-05-26,14,2,449.40967198561214,763.9964423755406,0.15,Electronics,Regular,Kochi,Kerala,Tier-2,South,Organic,5,21,5.471888568383291
108,5257,1095,2024-10-10,21,2,381.8667299401442,725.5467868862739,0.05,Apparel,Diwali,Mumbai,Maharashtra,Tier-1,West,Organic,7,49,1.10479054943813
109,5286,1011,2024-04-06,11,5,556.791343420675,2505.5610453930376,0.1,Sports,Regular,Lucknow,Uttar Pradesh,Tier-2,North,Affiliate,7,57,5.098060652033969
110,5237,1052,2024-09-03,13,5,474.2853827262617,2015.7128765866119,0.15,Grocery,Regular,Bengaluru,Karnataka,Tier-1,South,Organic,8,17,3.3438268327196448
111,5223,1030,2024-06-04,19,5,449.40967198561214,2247.0483599280606,0.0,Electronics,Regular,Jaipur,Rajasthan,Tier-2,North,Paid,8,51,2.4588036327042504
112,5133,1001,2024-09-29,12,4,268.9382794537109,1075.7531178148436,0.0,Sports,Regular,Bengaluru,Karnataka,Tier-1,South,Organic,4,13,2.002555349152072
113,5386,1054,2024-02-08,5,3,426.0475733895377,1278.142720168613,0.0,Beauty,Regular,Jaipur,Rajasthan,Tier-2,North,Marketplace,4,49,4.412581681353891
114,5257,1058,2024-03-01,18,2,92.4802288953179,184.9604577906358,0.0,Apparel,Holi,Mumbai,Maharashtra,Tier-1,West,Organic,6,33,2.491684371504949
115,5107,1041,2023-10-17,9,1,501.2801356741241,375.9601017555931,0.25,Grocery,Diwali,Delhi,Delhi,Tier-1,North,Paid,5,13,3.9900543806120012
116,5131,1097,2023-12-31,2,3,61.71345239649959,157.36930361107397,0.15,Apparel,Christmas,Ahmedabad,Gujarat,Tier-2,West,Paid,3,65,4.802812773546429
117,5219,1011,2023-11-25,8,3,556.791343420675,1670.3740302620251,0.0,Sports,Diwali,Jaipur,Rajasthan,Tier-2,North,Paid,1,18,5.225322468328484
118,5421,1051,2023-12-13,1,4,14.343739153093253,51.637460951135715,0.1,Apparel,Christmas,Hyderabad,Telangana,Tier-1,South,Organic,5,63,5.868640823612683
119,5480,1021,2024-02-01,21,1,219.17032119662233,164.37774089746674,0.25,Home,Regular,Chandigarh,Chandigarh,Tier-2,North,Paid,5,32,4.329456690574246
120,5194,1091,2024-09-14,23,5,420.82902129586427,2104.1451064793214,0.0,Home,Regular,Hyderabad,Telangana,Tier-1,South,Organic,9,56,1.8998198953808005
121,5197,1066,2024-02-29,6,1,339.932224839794,339.932224839794,0.0,Electronics,Regular,Lucknow,Uttar Pradesh,Tier-2,North,Organic,8,58,4.931454669840549
122,5064,1084,2024-08-26,21,2,23.40012314897768,39.78020935326206,0.15,Sports,RakshaBandhan,Delhi,Delhi,Tier-1,North,Paid,3,36,5.3124072845372075
123,5272,1012,2024-08-21,17,2,389.88042084759206,701.7847575256658,0.1,Sports,RakshaBandhan,Mumbai,Maharashtra,Tier-1,West,Referral,1,55,3.6368815388758433
124,5119,1054,2024-10-27,22,5,426.0475733895377,2130.2378669476884,0.0,Beauty,Diwali,Bengaluru,Karnataka,Tier-1,South,Organic,8,38,3.42419374317093
125,5409,1006,2024-04-21,3,4,459.07242417430825,1744.4752118623712,0.05,Beauty,Regular,Delhi,Delhi,Tier-1,North,Organic,5,50,8.950354770728048
126,5267,1038,2024-09-04,1,1,143.87651594002162,143.87651594002162,0.0,Electronics,Regular,Nagpur,Maharashtra,Tier-3,West,Marketplace,1,21,1.41389766339304
127,5110,1113,2024-03-16,22,5,351.7395456757186,1582.8279555407337,0.1,Electronics,Holi,Jaipur,Rajasthan,Tier-2,North,Organic,7,36,4.987348743885775
128,5458,1087,2024-06-09,6,4,282.50756584831856,1017.0272370539468,0.1,Grocery,Regular,Jaipur,Rajasthan,Tier-2,North,Paid,4,15,6.0920628927662985
129,5407,1009,2024-08-20,14,1,275.7277033583846,275.7277033583846,0.0,Accessories,RakshaBandhan,Pune,Maharashtra,Tier-2,West,Paid,2,36,3.3174695175542555
130,5150,1044,2023-11-26,21,4,501.03328282316863,1703.5131615987734,0.15,Beauty,Diwali,Nagpur,Maharashtra,Tier-3,West,Marketplace,6,6,3.6629664961983455
131,5060,1104,2023-10-24,8,1,469.4630333398188,445.98988167282783,0.05,Home,Diwali,Indore,Madhya Pradesh,Tier-2,Central,Paid,8,35,3.197066738541652
132,5132,1020,2023-12-05,2,3,457.2717666503706,1234.6337699560006,0.1,Accessories,Christmas,Nagpur,Maharashtra,Tier-3,West,Paid,7,69,4.000444625728161
133,5188,1090,2024-07-15,18,1,99.86414060076936,89.87772654069242,0.1,Accessories,Regular,Lucknow,Uttar Pradesh,Tier-2,North,Paid,3,32,5.798985125374425
134,5203,1038,2024-04-07,10,1,143.87651594002162,136.68269014302052,0.05,Electronics,Regular,Mumbai,Maharashtra,Tier-1,West,Organic,6,42,3.6035840921964692
135,5411,1057,2024-01-21,0,3,345.5573056122073,1036.671916836622,0.0,Grocery,NewYear,Hyderabad,Telangana,Tier-1,South,Marketplace,5,69,10.221184278126078
136,5483,1105,2024-08-03,8,4,432.9652116038074,1731.8608464152296,0.0,Home,RakshaBandhan,Delhi,Delhi,Tier-1,North,Affiliate,8,5,3.0945248149143763
137,5373,1080,2023-10-07,12,3,401.94498879315864,1085.2514697415284,0.1,Beauty,Diwali,Bengaluru,Karnataka,Tier-1,South,Affiliate,2,55,6.755030331331317
138,5422,1034,2023-12-09,21,2,287.0379286527267,516.6682715749081,0.1,Sports,Christmas,Hyderabad,Telangana,Tier-1,South,Organic,8,44,5.087849724745442
139,5062,1001,2024-04-05,5,3,268.9382794537109,806.8148383611326,0.0,Sports,Regular,Delhi,Delhi,Tier-1,North,Referral,4,30,4.21694624228675
140,5074,1028,2024-10-01,12,1,101.03080031985321,75.77310023988991,0.25,Electronics,Diwali,Hyderabad,Telangana,Tier-1,South,Organic,6,24,6.941522188715195
141,5454,1050,2024-07-26,4,1,127.9458394603139,108.75396354126681,0.15,Grocery,Regular,Pune,Maharashtra,Tier-2,West,Marketplace,5,49,0.7998475086864016
142,5306,1016,2024-06-30,6,1,337.2050243393425,337.2050243393425,0.0,Sports,Regular,Nagpur,Maharashtra,Tier-3,West,Marketplace,4,37,4.850356916933169
143,5117,1105,2024-07-11,6,1,432.9652116038074,432.9652116038074,0.0,Home,Regular,Mumbai,Maharashtra,Tier-1,West,Affiliate,3,34,2.56724012334369
144,5395,1006,2024-02-02,12,4,459.07242417430825,1744.4752118623712,0.05,Beauty,Regular,Jaipur,Rajasthan,Tier-2,North,Paid,4,55,3.128024129789651
145,5087,1064,2024-03-28,15,4,384.4838088003486,1537.9352352013943,0.0,Apparel,Holi,Hyderabad,Telangana,Tier-1,South,Marketplace,6,34,3.033995415927986
146,5384,1117,2024-09-19,2,1,434.48314401105273,325.86235800828956,0.25,Home,Regular,Pune,Maharashtra,Tier-2,West,Referral,6,65,2.0723514137551846
147,5441,1040,2024-07-18,1,3,267.9196321346751,723.3830067636228,0.1,Beauty,Regular,Jaipur,Rajasthan,Tier-2,North,Organic,6,26,0.6948396339533072
148,5244,1064,2024-05-27,17,3,384.4838088003486,1153.4514264010459,0.0,Apparel,Regular,Hyderabad,Telangana,Tier-1,South,Organic,6,57,4.777568471050726
149,5328,1008,2023-11-03,7,1,85.58704327857207,81.30769111464346,0.05,Accessories,Diwali,Vizag,Andhra Pradesh,Tier-3,South,Paid,1,47,3.868260233174512
150,5365,1087,2024-07-20,14,5,282.50756584831856,1412.5378292415928,0.0,Grocery,Regular,Bhopal,Madhya Pradesh,Tier-3,Central,Marketplace,4,72,3.3988173720662864
151,5440,1117,2024-02-24,1,5,434.48314401105273,2063.7949340525,0.05,Home,Regular,Bhopal,Madhya Pradesh,Tier-3,Central,Referral,3,35,5.51834937615953
152,5291,1092,2024-03-03,14,4,273.2322025886781,1092.9288103547124,0.0,Sports,Holi,Vizag,Andhra Pradesh,Tier-3,South,Referral,4,22,4.903869643901055
153,5146,1017,2024-06-26,21,5,47.65218110146344,202.5217696812196,0.15,Home,Regular,Chandigarh,Chandigarh,Tier-2,North,Organic,4,34,3.466327090842783
154,5100,1042,2024-03-06,10,3,423.156410181327,1142.522307489583,0.1,Electronics,Holi,Lucknow,Uttar Pradesh,Tier-2,North,Marketplace,2,54,10.101847364454795
155,5177,1086,2024-05-17,13,5,436.1920168519057,1635.7200631946462,0.25,Apparel,Regular,Hyderabad,Telangana,Tier-1,South,Organic,9,37,6.035977431747827
156,5028,1095,2023-10-06,7,3,381.8667299401442,1145.6001898204327,0.0,Apparel,Diwali,Chandigarh,Chandigarh,Tier-2,North,Organic,1,71,8.88960141621848
157,5349,1048,2023-12-14,6,1,412.67234734523555,412.67234734523555,0.0,Beauty,Christmas,Coimbatore,Tamil Nadu,Tier-3,South,Referral,6,16,3.1700901515866406
158,5184,1115,2024-05-03,1,1,515.4024276145016,438.0920634723263,0.15,Accessories,Regular,Hyderabad,Telangana,Tier-1,South,Referral,5,28,4.499398242060373
159,5355,1024,2024-10-18,11,5,469.2462632735195,2346.2313163675976,0.0,Beauty,Diwali,Vizag,Andhra Pradesh,Tier-3,South,Organic,7,78,1.5234614756586704
