timestamp,date,hour,visitors,add_to_cart,purchases,bounce_rate
2024-01-03 04:00:00,2024-01-03,4,888,222,76,0.5397983719121765
2024-01-03 05:00:00,2024-01-03,5,919,64,32,0.4166226706888073
2024-01-03 06:00:00,2024-01-03,6,935,65,33,0.5662969006867932
2024-01-03 07:00:00,2024-01-03,7,961,211,68,0.5952294114433777
2024-01-03 08:00:00,2024-01-03,8,915,226,58,0.30716307075598803
2024-01-03 09:00:00,2024-01-03,9,841,124,32,0.28654204705122993
2024-01-03 10:00:00,2024-01-03,10,717,45,9,0.6134909275642613
2024-01-03 11:00:00,2024-01-03,11,716,111,32,0.397765898192475
2024-01-03 12:00:00,2024-01-03,12,558,157,50,0.2637741081538874
2024-01-03 13:00:00,2024-01-03,13,532,77,15,0.5566413458732775
2024-01-03 14:00:00,2024-01-03,14,537,123,72,0.3328126692906418
2024-01-03 15:00:00,2024-01-03,15,338,42,14,0.30509455760740034
2024-01-03 16:00:00,2024-01-03,16,367,21,11,0.6331165481842236
2024-01-03 17:00:00,2024-01-03,17,187,21,7,0.42664574021646573
2024-01-03 18:00:00,2024-01-03,18,250,15,7,0.4895203579072296
2024-01-03 19:00:00,2024-01-03,19,323,40,10,0.3087601029506683
2024-01-03 20:00:00,2024-01-03,20,276,51,25,0.31169112191959764
2024-01-03 21:00:00,2024-01-03,21,306,58,13,0.6683382067525182
2024-01-03 22:00:00,2024-01-03,22,382,36,17,0.3094110491918372
2024-01-03 23:00:00,2024-01-03,23,453,89,31,0.5561801704342637
2024-01-04 00:00:00,2024-01-04,0,1781,217,68,0.40577966227555645
2024-01-04 01:00:00,2024-01-04,1,1968,574,249,0.6353836661807347
2024-01-04 02:00:00,2024-01-04,2,2283,596,313,0.5554479410061743
2024-01-04 03:00:00,2024-01-04,3,2502,454,234,0.654903088761504
2024-01-04 04:00:00,2024-01-04,4,2703,172,118,0.6466739621985133
2024-01-04 05:00:00,2024-01-04,5,2801,686,439,0.4600853679298735
2024-01-04 06:00:00,2024-01-04,6,2796,475,178,0.26041393830849724
2024-01-04 07:00:00,2024-01-04,7,2827,647,383,0.5185420422414725
2024-01-04 08:00:00,2024-01-04,8,2715,532,287,0.5188030258124742
2024-01-04 09:00:00,2024-01-04,9,2535,642,223,0.42852925483318033
2024-01-04 10:00:00,2024-01-04,10,2323,683,243,0.26884412921024087
2024-01-04 11:00:00,2024-01-04,11,1987,574,171,0.6230697388024613
2024-01-04 12:00:00,2024-01-04,12,1747,93,53,0.3309485771804658
2024-01-04 13:00:00,2024-01-04,13,1476,81,44,0.6175489466720012
2024-01-04 14:00:00,2024-01-04,14,1220,291,75,0.28558859546029275
2024-01-04 15:00:00,2024-01-04,15,988,277,158,0.6505924101858932
2024-01-04 16:00:00,2024-01-04,16,848,150,95,0.651749005857576
2024-01-04 17:00:00,2024-01-04,17,822,107,58,0.27707593705263567
2024-01-04 18:00:00,2024-01-04,18,694,78,35,0.3366477779158976
2024-01-04 19:00:00,2024-01-04,19,691,199,93,0.6778225554485896
2024-01-04 20:00:00,2024-01-04,20,844,102,63,0.2670693212676975
2024-01-04 21:00:00,2024-01-04,21,1035,230,67,0.6507039070345105
2024-01-04 22:00:00,2024-01-04,22,1281,142,54,0.37768629632120665
2024-01-04 23:00:00,2024-01-04,23,1542,119,74,0.3169688811625231
2024-01-05 00:00:00,2024-01-05,0,1759,243,110,0.5060969401653794
2024-01-05 01:00:00,2024-01-05,1,2036,373,249,0.251114145542262
2024-01-05 02:00:00,2024-01-05,2,2227,289,182,0.2934664129393732
2024-01-05 03:00:00,2024-01-05,3,2468,373,200,0.25290343148295247
2024-01-05 04:00:00,2024-01-05,4,2719,364,240,0.6575945227420689
2024-01-05 05:00:00,2024-01-05,5,2767,648,324,0.6075194073107545
2024-01-05 06:00:00,2024-01-05,6,2874,730,352,0.6018890965788884
2024-01-05 07:00:00,2024-01-05,7,2747,570,211,0.4409852128290907
2024-01-05 08:00:00,2024-01-05,8,2722,640,192,0.6687345501541753
2024-01-05 09:00:00,2024-01-05,9,2478,657,431,0.4462087441965423
2024-01-05 10:00:00,2024-01-05,10,2301,370,92,0.2723134057409315
2024-01-05 11:00:00,2024-01-05,11,2108,204,77,0.6906635671014428
2024-01-05 12:00:00,2024-01-05,12,1699,472,285,0.6375052708912146
2024-01-05 13:00:00,2024-01-05,13,1473,431,112,0.46554011927361866
2024-01-05 14:00:00,2024-01-05,14,1160,140,59,0.46641832722571525
2024-01-05 15:00:00,2024-01-05,15,943,109,71,0.32513812435770734
2024-01-05 16:00:00,2024-01-05,16,878,110,74,0.5355758559076597
2024-01-05 17:00:00,2024-01-05,17,710,199,69,0.6673292548900838
2024-01-05 18:00:00,2024-01-05,18,707,74,25,0.5595937080184051
2024-01-05 19:00:00,2024-01-05,19,786,163,37,0.4451372421716288
2024-01-05 20:00:00,2024-01-05,20,766,106,43,0.46717709311810823
2024-01-05 21:00:00,2024-01-05,21,1075,223,68,0.6557589327884238
2024-01-05 22:00:00,2024-01-05,22,1193,294,177,0.4864559547143005
2024-01-05 23:00:00,2024-01-05,23,1553,219,89,0.6173254232067195
2024-01-06 00:00:00,2024-01-06,0,930,150,93,0.5349556189330528
2024-01-06 01:00:00,2024-01-06,1,1154,318,143,0.632114601610684
2024-01-06 02:00:00,2024-01-06,2,1261,93,59,0.3230901161357359
2024-01-06 03:00:00,2024-01-06,3,1372,327,185,0.6643944594247799
2024-01-06 04:00:00,2024-01-06,4,1585,213,105,0.5632580154924497
2024-01-06 05:00:00,2024-01-06,5,1615,183,81,0.6542381012186741
2024-01-06 06:00:00,2024-01-06,6,1586,435,190,0.6761457863158767
2024-01-06 07:00:00,2024-01-06,7,1543,213,90,0.6989960364360617
2024-01-06 08:00:00,2024-01-06,8,1600,244,150,0.6593781749860836
2024-01-06 09:00:00,2024-01-06,9,1413,253,146,0.2845877208043085
2024-01-06 10:00:00,2024-01-06,10,1249,128,56,0.4188417319966499
2024-01-06 11:00:00,2024-01-06,11,1046,113,48,0.36951058577415286
2024-01-06 12:00:00,2024-01-06,12,966,252,78,0.35458772046781134
2024-01-06 13:00:00,2024-01-06,13,860,151,50,0.5044756498980708
2024-01-06 14:00:00,2024-01-06,14,771,47,14,0.4259011122282298
2024-01-06 15:00:00,2024-01-06,15,566,43,24,0.6791120743871885
2024-01-06 16:00:00,2024-01-06,16,598,79,46,0.6708317862381795
2024-01-06 17:00:00,2024-01-06,17,517,108,61,0.4318107340102571
2024-01-06 18:00:00,2024-01-06,18,410,76,50,0.4924244969304817
2024-01-06 19:00:00,2024-01-06,19,403,87,24,0.4889312383325632
2024-01-06 20:00:00,2024-01-06,20,529,109,50,0.6277300665991242
2024-01-06 21:00:00,2024-01-06,21,641,101,53,0.38649173612949367
2024-01-06 22:00:00,2024-01-06,22,701,48,12,0.6184353397642517
2024-01-06 23:00:00,2024-01-06,23,876,150,39,0.28975227003898585
2024-01-07 00:00:00,2024-01-07,0,587,94,60,0.41327253685971943
2024-01-07 01:00:00,2024-01-07,1,730,159,35,0.5567175135993503
2024-01-07 02:00:00,2024-01-07,2,740,41,9,0.48493981455293045
2024-01-07 03:00:00,2024-01-07,3,887,260,66,0.5923961863204132
2024-01-07 04:00:00,2024-01-07,4,878,236,52,0.6875951034426353
2024-01-07 05:00:00,2024-01-07,5,889,179,41,0.35807121676292925
2024-01-07 06:00:00,2024-01-07,6,1006,265,153,0.673324269337709
2024-01-07 07:00:00,2024-01-07,7,976,272,176,0.25831895462643817
2024-01-07 08:00:00,2024-01-07,8,1003,250,133,0.35029958112716036
2024-01-07 09:00:00,2024-01-07,9,855,110,55,0.6705959848469784
2024-01-07 10:00:00,2024-01-07,10,720,45,23,0.5777896290897003
2024-01-07 11:00:00,2024-01-07,11,724,120,54,0.6171762193948684
2024-01-07 12:00:00,2024-01-07,12,618,73,24,0.39623428659385224
2024-01-07 13:00:00,2024-01-07,13,491,41,24,0.6242673508108804
2024-01-07 14:00:00,2024-01-07,14,420,110,53,0.5704710082823945
2024-01-07 15:00:00,2024-01-07,15,335,42,22,0.3888399884104096
2024-01-07 16:00:00,2024-01-07,16,270,33,16,0.3359619489771184
2024-01-07 17:00:00,2024-01-07,17,308,42,24,0.378967865309342
2024-01-07 18:00:00,2024-01-07,18,284,14,5,0.37246636101050734
2024-01-07 19:00:00,2024-01-07,19,269,40,27,0.4957595067966844
2024-01-07 20:00:00,2024-01-07,20,247,62,14,0.6267533472302168
2024-01-07 21:00:00,2024-01-07,21,315,20,13,0.47294149127480883
2024-01-07 22:00:00,2024-01-07,22,327,50,21,0.41306384727437645
2024-01-07 23:00:00,2024-01-07,23,408,101,21,0.4704387880775597
2024-01-08 00:00:00,2024-01-08,0,479,90,27,0.40693779195891017
2024-01-08 01:00:00,2024-01-08,1,602,141,94,0.359408260746725
2024-01-08 02:00:00,2024-01-08,2,744,102,51,0.4149161628344497
2024-01-08 03:00:00,2024-01-08,3,666,135,29,0.2693691042664653
2024-01-08 04:00:00,2024-01-08,4,755,202,97,0.25810126216835444
2024-01-08 05:00:00,2024-01-08,5,826,112,62,0.6153589135404864
2024-01-08 06:00:00,2024-01-08,6,747,116,36,0.5775632684475582
2024-01-08 07:00:00,2024-01-08,7,731,165,91,0.3202961607655995
2024-01-08 08:00:00,2024-01-08,8,742,190,93,0.28884616486750336
2024-01-08 09:00:00,2024-01-08,9,678,49,21,0.3694807012861739
2024-01-08 10:00:00,2024-01-08,10,743,118,50,0.6648664702309419
2024-01-08 11:00:00,2024-01-08,11,524,76,52,0.45809610195061606
2024-01-08 12:00:00,2024-01-08,12,545,79,42,0.5991134843553416
2024-01-08 13:00:00,2024-01-08,13,420,47,31,0.48027300382032384
2024-01-08 14:00:00,2024-01-08,14,381,19,8,0.6710108027011831
2024-01-08 15:00:00,2024-01-08,15,226,17,9,0.25675930283862586
2024-01-08 16:00:00,2024-01-08,16,295,32,10,0.26866632916113753
2024-01-08 17:00:00,2024-01-08,17,293,68,23,0.5140827632190147
2024-01-08 18:00:00,2024-01-08,18,132,39,23,0.6757170946890785
2024-01-08 19:00:00,2024-01-08,19,235,50,11,0.6360524333995227
2024-01-08 20:00:00,2024-01-08,20,243,29,9,0.48591294140515273
2024-01-08 21:00:00,2024-01-08,21,302,88,26,0.3190202761730294
2024-01-08 22:00:00,2024-01-08,22,313,58,33,0.5138537291584222
2024-01-08 23:00:00,2024-01-08,23,448,125,48,0.31336060338300553
2024-01-09 00:00:00,2024-01-09,0,1176,218,109,0.28295674045835845
2024-01-09 01:00:00,2024-01-09,1,1417,190,62,0.5594055596127299
2024-01-09 02:00:00,2024-01-09,2,1605,478,193,0.3324616088443874
2024-01-09 03:00:00,2024-01-09,3,1563,266,141,0.26904180463088595
2024-01-09 04:00:00,2024-01-09,4,1707,506,345,0.692868133730273
2024-01-09 05:00:00,2024-01-09,5,1762,308,149,0.2836837534189154
2024-01-09 06:00:00,2024-01-09,6,1851,439,243,0.42215475796321017
2024-01-09 07:00:00,2024-01-09,7,1799,454,312,0.4405677771215605
2024-01-09 08:00:00,2024-01-09,8,1710,470,256,0.5521399192926629
2024-01-09 09:00:00,2024-01-09,9,1669,363,184,0.5695499089060787
2024-01-09 10:00:00,2024-01-09,10,1397,170,55,0.5768103164556485
2024-01-09 11:00:00,2024-01-09,11,1288,364,146,0.5351059685843381
2024-01-09 12:00:00,2024-01-09,12,1089,176,70,0.5895961029826176
2024-01-09 13:00:00,2024-01-09,13,985,148,93,0.5508244288587223
2024-01-09 14:00:00,2024-01-09,14,816,196,104,0.4260835842259516
2024-01-09 15:00:00,2024-01-09,15,666,41,12,0.5011394127804347
2024-01-09 16:00:00,2024-01-09,16,535,108,42,0.624370409039115
2024-01-09 17:00:00,2024-01-09,17,529,60,14,0.6228478103868509
2024-01-09 18:00:00,2024-01-09,18,553,107,59,0.5222681633172497
2024-01-09 19:00:00,2024-01-09,19,532,108,29,0.383278590041345
2024-01-09 20:00:00,2024-01-09,20,571,38,23,0.27008756712567633
2024-01-09 21:00:00,2024-01-09,21,580,94,50,0.31969122991745774
2024-01-09 22:00:00,2024-01-09,22,861,134,43,0.2942511103273756
2024-01-09 23:00:00,2024-01-09,23,943,142,55,0.3311097158926349
2024-01-10 00:00:00,2024-01-10,0,797,103,29,0.5887915869573185
2024-01-10 01:00:00,2024-01-10,1,931,128,43,0.41802334067978386
2024-01-10 02:00:00,2024-01-10,2,1062,208,58,0.5346183657745743
2024-01-10 03:00:00,2024-01-10,3,1128,61,41,0.3017032438273569
2024-01-10 04:00:00,2024-01-10,4,1236,265,130,0.25189821223508146
2024-01-10 05:00:00,2024-01-10,5,1156,267,166,0.33277433140700297
2024-01-10 06:00:00,2024-01-10,6,1303,372,200,0.45473345934978765
2024-01-10 07:00:00,2024-01-10,7,1316,117,79,0.5444099374894152
2024-01-10 08:00:00,2024-01-10,8,1215,229,137,0.3974536920856255
2024-01-10 09:00:00,2024-01-10,9,1145,158,102,0.564141187297527
2024-01-10 10:00:00,2024-01-10,10,985,107,53,0.5168064473872981
2024-01-10 11:00:00,2024-01-10,11,918,215,69,0.4799451380617599
2024-01-10 12:00:00,2024-01-10,12,778,78,28,0.6113265063664646
2024-01-10 13:00:00,2024-01-10,13,733,87,40,0.43043573601514723
2024-01-10 14:00:00,2024-01-10,14,598,146,78,0.3771240300868148
2024-01-10 15:00:00,2024-01-10,15,447,57,28,0.29565138004031
2024-01-10 16:00:00,2024-01-10,16,353,104,59,0.436575647149633
2024-01-10 17:00:00,2024-01-10,17,358,42,28,0.41497413937153077
2024-01-10 18:00:00,2024-01-10,18,260,14,7,0.38321276971163404
2024-01-10 19:00:00,2024-01-10,19,248,39,9,0.3332781331151304
2024-01-10 20:00:00,2024-01-10,20,369,24,12,0.2771295219948663
2024-01-10 21:00:00,2024-01-10,21,516,151,62,0.685667985963477
2024-01-10 22:00:00,2024-01-10,22,574,114,32,0.6785614683198508
2024-01-10 23:00:00,2024-01-10,23,628,52,11,0.4115737675650113
2024-01-11 00:00:00,2024-01-11,0,759,219,138,0.44805442661214023
2024-01-11 01:00:00,2024-01-11,1,896,174,116,0.6057935304747851
2024-01-11 02:00:00,2024-01-11,2,932,223,100,0.31367841001234364
2024-01-11 03:00:00,2024-01-11,3,1081,229,134,0.5803044009030777
2024-01-11 04:00:00,2024-01-11,4,1265,153,96,0.4332737467081083
2024-01-11 05:00:00,2024-01-11,5,1217,256,89,0.5392051819302967
2024-01-11 06:00:00,2024-01-11,6,1404,302,210,0.37478920043480235
2024-01-11 07:00:00,2024-01-11,7,1138,274,171,0.6111235244750479
2024-01-11 08:00:00,2024-01-11,8,1213,213,53,0.5530655283930999
2024-01-11 09:00:00,2024-01-11,9,1103,64,41,0.662675929451609
2024-01-11 10:00:00,2024-01-11,10,1091,179,109,0.6838993598505778
2024-01-11 11:00:00,2024-01-11,11,884,67,43,0.2947284491032289
2024-01-11 12:00:00,2024-01-11,12,724,136,62,0.29393893881543787
2024-01-11 13:00:00,2024-01-11,13,602,120,79,0.46644675255627555
2024-01-11 14:00:00,2024-01-11,14,574,55,16,0.6770403113161866
2024-01-11 15:00:00,2024-01-11,15,397,43,11,0.5693787851001081
2024-01-11 16:00:00,2024-01-11,16,392,107,29,0.39478225268447004
2024-01-11 17:00:00,2024-01-11,17,284,83,40,0.4018741564488864
2024-01-11 18:00:00,2024-01-11,18,376,48,26,0.4971773196201768
2024-01-11 19:00:00,2024-01-11,19,253,42,8,0.5591985561924818
2024-01-11 20:00:00,2024-01-11,20,370,78,49,0.5212458557814523
2024-01-11 21:00:00,2024-01-11,21,496,111,40,0.31943286620495054
2024-01-11 22:00:00,2024-01-11,22,508,54,29,0.5717157374394907
2024-01-11 23:00:00,2024-01-11,23,663,191,126,0.3093725096042821
2024-01-12 00:00:00,2024-01-12,0,687,70,47,0.5047146991007492
2024-01-12 01:00:00,2024-01-12,1,796,234,125,0.641848777598284
2024-01-12 02:00:00,2024-01-12,2,832,89,37,0.6466645817414135
2024-01-12 03:00:00,2024-01-12,3,1066,170,104,0.32985366693892676
2024-01-12 04:00:00,2024-01-12,4,1217,82,16,0.39350602341484336
2024-01-12 05:00:00,2024-01-12,5,1130,68,26,0.5778837853987643
2024-01-12 06:00:00,2024-01-12,6,1016,172,77,0.6585844450283739
2024-01-12 07:00:00,2024-01-12,7,1160,76,41,0.4943137516411437
2024-01-12 08:00:00,2024-01-12,8,1039,179,114,0.5978761210077671
2024-01-12 09:00:00,2024-01-12,9,984,92,46,0.47411084091367084
2024-01-12 10:00:00,2024-01-12,10,910,260,181,0.6781117060391557
2024-01-12 11:00:00,2024-01-12,11,772,154,55,0.6762313408373057
2024-01-12 12:00:00,2024-01-12,12,771,77,19,0.626103001019119
2024-01-12 13:00:00,2024-01-12,13,720,173,88,0.3775852077801402
2024-01-12 14:00:00,2024-01-12,14,433,113,32,0.3047858890116226
2024-01-12 15:00:00,2024-01-12,15,345,37,13,0.6715222614032894
2024-01-12 16:00:00,2024-01-12,16,336,56,19,0.40656879359405557
2024-01-12 17:00:00,2024-01-12,17,422,48,27,0.6153420050055634
2024-01-12 18:00:00,2024-01-12,18,323,88,23,0.4779683204373305
2024-01-12 19:00:00,2024-01-12,19,261,53,36,0.5180848347474438
2024-01-12 20:00:00,2024-01-12,20,423,31,6,0.41043131948368744
2024-01-12 21:00:00,2024-01-12,21,503,31,10,0.6932582962906463
2024-01-12 22:00:00,2024-01-12,22,519,76,18,0.5898589385652646
2024-01-12 23:00:00,2024-01-12,23,629,148,38,0.4893380188880614
2024-01-13 00:00:00,2024-01-13,0,1895,455,273,0.436182323470283
2024-01-13 01:00:00,2024-01-13,1,2221,532,274,0.3136671677272246
2024-01-13 02:00:00,2024-01-13,2,2472,215,122,0.5711263275858054
2024-01-13 03:00:00,2024-01-13,3,2710,660,266,0.4779624088070979
2024-01-13 04:00:00,2024-01-13,4,2958,828,324,0.5693079841030744
2024-01-13 05:00:00,2024-01-13,5,3022,772,277,0.46192189281811585
2024-01-13 06:00:00,2024-01-13,6,2873,809,526,0.37422807164339134
2024-01-13 07:00:00,2024-01-13,7,3080,445,123,0.27026036214763893
2024-01-13 08:00:00,2024-01-13,8,2860,349,159,0.6562073229772796
2024-01-13 09:00:00,2024-01-13,9,2697,503,340,0.6141780141754193
2024-01-13 10:00:00,2024-01-13,10,2568,257,149,0.2858787535690867
2024-01-13 11:00:00,2024-01-13,11,2330,252,156,0.4207372589760062
2024-01-13 12:00:00,2024-01-13,12,1861,462,112,0.5204325902880241
2024-01-13 13:00:00,2024-01-13,13,1657,352,84,0.6588397271421725
2024-01-13 14:00:00,2024-01-13,14,1337,190,55,0.5748337388179271
2024-01-13 15:00:00,2024-01-13,15,1105,127,51,0.3787425773487702
2024-01-13 16:00:00,2024-01-13,16,912,172,48,0.6610702957709504
2024-01-13 17:00:00,2024-01-13,17,874,126,40,0.6820844127279078
2024-01-13 18:00:00,2024-01-13,18,750,73,32,0.3345335227154179
2024-01-13 19:00:00,2024-01-13,19,737,93,34,0.603995535581534
2024-01-13 20:00:00,2024-01-13,20,902,70,27,0.6533538869794254
2024-01-13 21:00:00,2024-01-13,21,1026,246,152,0.2911790230718933
2024-01-13 22:00:00,2024-01-13,22,1300,71,18,0.6205963638382466
2024-01-13 23:00:00,2024-01-13,23,1639,272,88,0.6246244882382409
2024-01-14 00:00:00,2024-01-14,0,1266,305,118,0.6665158517069156
2024-01-14 01:00:00,2024-01-14,1,1445,307,155,0.4016255421684907
2024-01-14 02:00:00,2024-01-14,2,1673,476,170,0.37866831704712905
2024-01-14 03:00:00,2024-01-14,3,1778,525,246,0.6854059401328539
2024-01-14 04:00:00,2024-01-14,4,1780,219,108,0.3199508829492375
2024-01-14 05:00:00,2024-01-14,5,1923,309,150,0.4242588079247091
2024-01-14 06:00:00,2024-01-14,6,1935,520,150,0.6651920755580524
2024-01-14 07:00:00,2024-01-14,7,1998,414,104,0.3153660632356354
2024-01-14 08:00:00,2024-01-14,8,1969,541,248,0.3253868189396625
2024-01-14 09:00:00,2024-01-14,9,1749,488,261,0.3322885315184158
2024-01-14 10:00:00,2024-01-14,10,1588,452,133,0.326838984105837
2024-01-14 11:00:00,2024-01-14,11,1501,278,84,0.527433634513496
2024-01-14 12:00:00,2024-01-14,12,1258,331,67,0.6445510416103175
2024-01-14 13:00:00,2024-01-14,13,1051,122,30,0.6870428682140508
2024-01-14 14:00:00,2024-01-14,14,896,86,46,0.5910769279948478
2024-01-14 15:00:00,2024-01-14,15,710,166,96,0.611227102760147
2024-01-14 16:00:00,2024-01-14,16,601,34,21,0.5032507978126293
2024-01-14 17:00:00,2024-01-14,17,563,31,15,0.32324182498522963
2024-01-14 18:00:00,2024-01-14,18,523,50,27,0.2899805498815276
2024-01-14 19:00:00,2024-01-14,19,622,131,52,0.6627199105064407
2024-01-14 20:00:00,2024-01-14,20,622,147,62,0.6062714544635661
2024-01-14 21:00:00,2024-01-14,21,740,113,77,0.3189079313199569
2024-01-14 22:00:00,2024-01-14,22,784,142,38,0.5313995540315003
2024-01-14 23:00:00,2024-01-14,23,1054,286,173,0.5444416721147582
2024-01-15 00:00:00,2024-01-15,0,460,121,67,0.4144157455412552
2024-01-15 01:00:00,2024-01-15,1,472,63,39,0.3889973108514645
2024-01-15 02:00:00,2024-01-15,2,687,71,28,0.5303357168047138
2024-01-15 03:00:00,2024-01-15,3,643,180,43,0.2712349607502488
2024-01-15 04:00:00,2024-01-15,4,614,155,101,0.32580289489547215
2024-01-15 05:00:00,2024-01-15,5,780,214,104,0.4334633422438984
2024-01-15 06:00:00,2024-01-15,6,880,68,17,0.5533334158135756
2024-01-15 07:00:00,2024-01-15,7,702,99,49,0.32021557251392246
2024-01-15 08:00:00,2024-01-15,8,741,55,13,0.6931467732625679
2024-01-15 09:00:00,2024-01-15,9,613,51,30,0.41499705450845964
2024-01-15 10:00:00,2024-01-15,10,594,62,16,0.2859574174926715
2024-01-15 11:00:00,2024-01-15,11,520,83,22,0.6066004174283844
2024-01-15 12:00:00,2024-01-15,12,471,74,19,0.26249705207260976
2024-01-15 13:00:00,2024-01-15,13,432,38,8,0.4654474184123259
2024-01-15 14:00:00,2024-01-15,14,383,65,15,0.3869605482695858
2024-01-15 15:00:00,2024-01-15,15,211,25,9,0.47507572179885504
2024-01-15 16:00:00,2024-01-15,16,266,66,19,0.6033662457032991
2024-01-15 17:00:00,2024-01-15,17,193,49,24,0.555542941089278
2024-01-15 18:00:00,2024-01-15,18,113,25,12,0.5283573691582242
2024-01-15 19:00:00,2024-01-15,19,183,11,4,0.2730650477481205
2024-01-15 20:00:00,2024-01-15,20,265,44,17,0.2715716186372766
2024-01-15 21:00:00,2024-01-15,21,278,46,31,0.4688781418657621
2024-01-15 22:00:00,2024-01-15,22,350,56,16,0.2595319505690644
2024-01-15 23:00:00,2024-01-15,23,403,112,40,0.4158373211522891
2024-01-16 00:00:00,2024-01-16,0,833,195,98,0.40220233660879595
2024-01-16 01:00:00,2024-01-16,1,967,133,46,0.6294218442241598
2024-01-16 02:00:00,2024-01-16,2,1187,343,160,0.6412711259187601
2024-01-16 03:00:00,2024-01-16,3,1295,352,203,0.4296342531992227
2024-01-16 04:00:00,2024-01-16,4,1451,348,144,0.6903769565663969
2024-01-16 05:00:00,2024-01-16,5,1372,339,124,0.570243278637821
2024-01-16 06:00:00,2024-01-16,6,1424,216,53,0.5808776893499472
2024-01-16 07:00:00,2024-01-16,7,1395,116,25,0.3972660826639572
2024-01-16 08:00:00,2024-01-16,8,1344,80,38,0.6529240783716289
2024-01-16 09:00:00,2024-01-16,9,1356,245,77,0.4476620166415953
2024-01-16 10:00:00,2024-01-16,10,1218,324,207,0.4533678550058432
2024-01-16 11:00:00,2024-01-16,11,982,222,149,0.6810564043987498
2024-01-16 12:00:00,2024-01-16,12,762,86,53,0.273266837234779
